Industry Name,Amortization Period,Number of firms,Annual Average Revenue growth - Last 5 years,Pre-tax Operating Margin (Unadjusted),After-tax ROC,Average effective tax rate,Unlevered Beta,Equity (Levered) Beta,Cost of equity,Std deviation in stock prices,Pre-tax cost of debt,Market Debt/Capital,Cost of capital,Sales/Capital,EV/Sales,EV/EBITDA,EV/EBIT,Price/Book,Trailing PE,Non-cash WC as % of Revenues,Cap Ex as % of Revenues,Net Cap Ex as % of Revenues,Reinvestment Rate,ROE,Dividend Payout Ratio,Equity Reinvestment Rate,Pre-tax Operating Margin (Lease & R&D adjusted)
Diversified,5,326,8.09%,15.64%,11.94%,17.38%,0.74,0.95,9.99%,27.14%,6.44%,34.01%,8.23%,0.85,1.83,8.93,11.14,1.22,18.17,-9.45%,4.90%,3.61%,37.09%,13.10%,20.07%,20.07%,16.23%
Drugs (Biotechnology),10,1259,20.21%,-0.43%,0.69%,16.29%,1.15,1.17,11.40%,53.28%,6.70%,12.54%,10.60%,0.42,6.96,15.32,NA,5.11,127.84,17.16%,5.67%,9.62%,NA,-8.83%,0.47%,0.47%,1.63%
Drugs (Pharmaceutical),10,1299,18.01%,18.17%,12.87%,16.61%,0.89,0.95,9.95%,41.51%,6.44%,13.36%,9.26%,0.71,4.05,14.6,21.71,3.88,41.51,15.49%,5.01%,5.71%,44.22%,13.20%,63.54%,63.54%,19.79%
Education,3,260,10.49%,11.07%,9.27%,20.12%,0.76,0.83,9.21%,34.53%,6.44%,22.38%,8.22%,0.97,2.29,10.92,18.17,1.95,125.42,3.48%,5.72%,3.01%,57.59%,5.12%,57.71%,57.71%,10.89%
Electrical Equipment,10,1072,10.65%,7.13%,10.90%,18.78%,1.1,1.13,11.13%,35.11%,6.44%,14.98%,10.18%,1.67,1.94,15.55,24.89,2.82,97.35,21.72%,6.89%,6.03%,162.24%,10.86%,39.38%,39.38%,7.39%
Electronics (Consumer & Office),5,127,3.04%,4.68%,6.23%,14.51%,1.13,1.23,11.75%,33.86%,6.44%,23.24%,10.13%,1.48,0.94,11.44,19.49,1.72,40.79,6.63%,4.20%,2.70%,87.12%,7.31%,32.24%,32.24%,4.75%
Electronics (General),5,1486,5.84%,5.28%,6.44%,18.36%,1.28,1.28,12.10%,32.53%,6.44%,15.71%,10.95%,1.36,1.59,14.16,28.29,2.27,102,18.92%,6.31%,3.57%,96.58%,6.68%,61.91%,61.91%,5.34%
Engineering/Construction,#N/A,1283,5.41%,4.73%,7.89%,22.60%,0.71,0.97,10.09%,30.58%,6.44%,48.35%,7.53%,1.96,0.63,9.13,12.77,1.03,39.88,15.17%,3.21%,2.30%,126.30%,9.11%,66.31%,66.31%,4.79%
Entertainment,3,741,9.61%,7.30%,7.47%,22.10%,1.03,1.11,10.98%,41.35%,6.44%,18.21%,9.86%,1.09,2.91,15.78,36.44,2.48,156.17,4.00%,3.72%,-2.55%,-34.12%,2.27%,89.24%,89.24%,7.48%
Environmental & Waste Services,5,383,8.21%,10.59%,10.78%,22.83%,0.83,1,10.30%,33.89%,6.44%,25.93%,8.88%,1.16,2.78,14.04,24.86,3.02,39.26,14.71%,8.65%,7.45%,134.69%,8.07%,63.17%,63.17%,10.71%
Farming/Agriculture,#N/A,430,11.07%,8.16%,10.56%,21.47%,0.57,0.77,8.84%,34.05%,6.44%,36.69%,7.36%,1.45,1.08,9.75,12.67,1.83,26.81,16.20%,4.19%,2.71%,59.83%,14.47%,33.02%,33.02%,8.38%
Financial Svcs. (Non-bank & Insurance),2,1113,13.97%,12.40%,0.88%,17.37%,0.28,0.93,9.82%,35.21%,6.44%,77.53%,5.93%,0.08,15.09,51.98,71.08,2.25,50.72,NA,3.87%,-8.01%,-77.40%,18.60%,23.96%,23.96%,12.52%
Food Processing,3,1395,9.15%,7.60%,11.62%,23.20%,0.6,0.71,8.40%,28.63%,6.44%,24.37%,7.52%,1.8,1.41,12.64,18.18,2.32,49.42,10.21%,4.40%,2.28%,59.21%,10.40%,63.64%,63.64%,7.64%
Food Wholesalers,3,173,7.76%,2.47%,10.68%,24.53%,0.5,0.67,8.17%,30.82%,6.44%,36.58%,6.94%,5.27,0.37,9.71,14.91,2.15,49.79,5.87%,1.42%,0.90%,48.47%,8.91%,56.95%,56.95%,2.47%
Furn/Home Furnishings,3,383,5.15%,7.24%,13.13%,18.19%,0.93,0.95,9.96%,29.72%,6.44%,21.84%,8.84%,2.09,1.03,9.74,13.62,2.05,37.84,4.91%,3.59%,3.10%,53.44%,11.21%,70.05%,70.05%,7.33%
Green & Renewable Energy,#N/A,253,13.56%,29.24%,7.17%,16.00%,0.61,0.87,9.43%,33.37%,6.44%,39.20%,7.62%,0.27,7.4,13.95,22.79,2.01,49.91,9.72%,41.56%,36.68%,152.14%,10.75%,66.39%,66.39%,29.15%
Healthcare Products,#N/A,849,15.23%,12.43%,11.04%,20.59%,1.04,1.1,10.92%,42.34%,6.44%,11.70%,10.20%,0.93,4.41,20.07,33.89,3.58,94.73,25.69%,5.43%,3.47%,67.33%,7.58%,50.70%,50.70%,12.86%
Healthcare Support Services,3,463,12.62%,3.95%,28.93%,23.07%,0.82,0.91,9.71%,37.81%,6.44%,23.00%,8.59%,8.66,0.61,11.06,15.22,2.62,57.5,-2.73%,0.87%,1.66%,57.45%,12.15%,36.88%,36.88%,3.91%
Heathcare Information and Technology,3,443,16.61%,13.60%,12.76%,14.06%,1.17,1.23,11.79%,44.93%,6.44%,12.09%,10.94%,0.98,5.25,21.66,36.68,3.94,128.07,23.90%,7.15%,6.14%,71.59%,6.03%,24.43%,24.43%,13.84%
Homebuilding,5,173,7.83%,13.28%,14.42%,24.28%,1.01,1.09,10.90%,28.97%,6.44%,23.11%,9.49%,1.39,1.18,8.03,9.17,1.58,20.55,60.93%,0.69%,0.51%,20.29%,16.61%,18.14%,18.14%,12.79%
Hospitals/Healthcare Facilities,3,232,11.02%,10.86%,12.32%,20.09%,0.58,0.76,8.78%,29.53%,6.44%,32.21%,7.50%,1.38,2.31,12.44,20.58,4.08,41.98,6.96%,7.17%,2.45%,40.77%,11.95%,45.89%,45.89%,10.77%
Hotel/Gaming,3,650,3.48%,14.02%,8.27%,20.56%,0.79,0.98,10.16%,33.83%,6.44%,31.64%,8.46%,0.76,3.56,15.09,28.37,3.96,60.19,-1.98%,6.31%,0.85%,16.02%,10.91%,27.14%,27.14%,12.34%
Household Products,3,549,6.10%,14.98%,20.30%,23.01%,0.85,0.9,9.64%,35.41%,6.44%,12.12%,9.05%,1.56,3.2,16.98,21.06,5.14,102.1,5.62%,3.36%,1.61%,15.52%,18.83%,83.29%,83.29%,15.09%
Information Services,#N/A,81,2.07%,10.93%,21.88%,25.72%,1.02,1.21,11.64%,33.63%,6.44%,25.72%,9.88%,2.3,1.93,11.38,16.97,3.37,143.5,14.32%,1.97%,-1.39%,0.15%,8.98%,55.28%,55.28%,11.38%
Insurance (General),3,202,8.46%,11.83%,18.16%,20.99%,0.63,0.69,8.27%,24.79%,5.85%,26.01%,7.26%,1.81,1.17,8.14,8.6,1.78,22.77,-1.59%,0.76%,0.42%,2.02%,15.20%,42.45%,42.45%,11.84%
Insurance (Life),3,137,8.27%,10.82%,9.64%,14.30%,0.77,0.89,9.56%,25.29%,6.44%,50.93%,7.14%,1.03,1.06,7.22,8.81,1.12,45.47,-96.19%,0.69%,0.48%,-7.88%,7.42%,61.91%,61.91%,10.83%
Insurance (Prop/Cas.),3,228,9.06%,9.76%,13.31%,18.70%,0.66,0.71,8.44%,26.74%,6.44%,18.25%,7.77%,1.65,1.13,9.25,10.82,1.59,19.55,-28.48%,0.70%,-0.31%,19.02%,12.31%,31.77%,31.77%,9.79%
Investments & Asset Management,3,1374,11.47%,17.62%,5.58%,17.30%,0.54,0.75,8.71%,29.52%,6.44%,42.42%,7.05%,0.35,4.66,16.81,20.17,1.38,56.35,NA,3.60%,7.68%,52.42%,10.45%,56.05%,56.05%,17.50%
