Industry Name,Amortization Period,Number of firms,Annual Average Revenue growth - Last 5 years,Pre-tax Operating Margin (Unadjusted),After-tax ROC,Average effective tax rate,Unlevered Beta,Equity (Levered) Beta,Cost of equity,Std deviation in stock prices,Pre-tax cost of debt,Market Debt/Capital,Cost of capital,Sales/Capital,EV/Sales,EV/EBITDA,EV/EBIT,Price/Book,Trailing PE,Non-cash WC as % of Revenues,Cap Ex as % of Revenues,Net Cap Ex as % of Revenues,Reinvestment Rate,ROE,Dividend Payout Ratio,Equity Reinvestment Rate,Pre-tax Operating Margin (Lease & R&D adjusted)
Diversified,5,23,6.94%,22.93%,20.40%,17.65%,1.09,1.19,9.38%,52.25%,5.35%,16.07%,8.51%,0.93,2.43,8.93,10.51,1.87,13.8,5.00%,4.48%,4.61%,25.08%,15.87%,8.16%,8.16%,23.07%
Drugs (Biotechnology),10,572,18.95%,1.08%,1.56%,16.41%,1.09,1.12,9.05%,61.98%,5.35%,14.08%,8.34%,0.41,6.89,13.52,NA,6.14,30.39,9.98%,3.82%,3.47%,NA,-11.59%,0.09%,0.09%,3.83%
Drugs (Pharmaceutical),10,245,41.54%,18.16%,13.38%,14.92%,0.94,1.03,8.60%,65.30%,6.09%,13.83%,8.05%,0.64,5.08,16.62,27.43,5.2,57.63,22.37%,5.31%,12.97%,85.39%,17.32%,69.96%,69.96%,21.33%
Education,3,31,4.12%,5.82%,5.93%,32.16%,1.15,1.23,9.52%,43.78%,5.09%,16.38%,8.58%,1.29,2.3,10.8,31.74,2.72,34.57,9.08%,2.92%,0.33%,97.50%,1.67%,38.08%,38.08%,5.16%
Electrical Equipment,10,103,14.91%,9.00%,13.27%,21.67%,1.15,1.24,9.59%,54.42%,5.35%,17.62%,8.61%,1.47,2.98,14.65,28.89,2.92,24.69,28.27%,6.16%,9.82%,214.64%,23.70%,17.18%,17.18%,9.57%
Electronics (Consumer & Office),5,13,-6.32%,-0.08%,0.95%,69.44%,1.3,1.3,9.84%,39.42%,5.09%,15.49%,8.90%,1.67,0.85,19.14,NA,1.9,38.63,15.53%,1.56%,-0.22%,NA,-6.63%,0.00%,0.00%,0.57%
Electronics (General),5,129,15.82%,9.48%,15.11%,22.61%,0.88,0.93,8.18%,42.94%,5.09%,14.67%,7.54%,1.68,2.18,13.59,22.11,3.28,102.26,24.01%,4.06%,4.12%,70.43%,8.80%,28.53%,28.53%,9.80%
Engineering/Construction,#N/A,43,8.06%,4.48%,12.58%,28.02%,0.84,0.96,8.30%,33.68%,5.09%,20.76%,7.37%,3.11,1.12,12.76,23.13,3.33,47.3,18.92%,3.00%,2.64%,126.19%,6.41%,21.67%,21.67%,4.72%
Entertainment,3,98,15.47%,7.01%,7.56%,20.00%,0.87,0.99,8.45%,61.19%,5.35%,22.33%,7.46%,1.11,3.07,16.37,42.53,2.59,31.17,3.81%,4.37%,-2.26%,-20.65%,-0.27%,0.34%,0.34%,7.05%
Environmental & Waste Services,5,57,13.38%,13.55%,29.94%,24.03%,0.79,0.91,8.05%,46.07%,5.09%,18.00%,7.29%,2.29,3.38,15,24.26,6.25,31.28,10.18%,7.84%,6.48%,70.10%,21.01%,36.34%,36.34%,13.82%
Farming/Agriculture,#N/A,42,21.38%,10.18%,17.93%,20.91%,0.77,0.99,8.44%,54.14%,5.35%,31.18%,7.06%,1.83,1.11,8.97,10.56,2.73,21.61,14.72%,3.40%,2.70%,53.01%,27.51%,17.33%,17.33%,10.49%
Financial Svcs. (Non-bank & Insurance),2,172,20.50%,15.18%,0.88%,19.51%,0.32,1.14,9.14%,38.66%,5.09%,77.98%,4.99%,0.06,19.18,62.48,83.08,3.43,25.59,1307.97%,2.55%,2.84%,21.68%,22.36%,27.81%,27.81%,15.25%
Food Processing,3,82,7.24%,10.79%,17.23%,21.58%,0.5,0.61,6.67%,36.51%,5.09%,25.21%,5.95%,1.72,1.84,12.51,16.77,2.3,31.4,6.01%,4.13%,2.65%,41.19%,10.10%,68.71%,68.71%,10.92%
Food Wholesalers,3,14,18.65%,2.23%,14.96%,24.40%,0.74,0.97,8.32%,27.30%,5.09%,30.86%,6.93%,8.02,0.4,11.26,18.05,4.1,26.1,5.78%,0.93%,0.90%,47.19%,21.11%,38.16%,38.16%,2.22%
Furn/Home Furnishings,3,31,3.13%,5.86%,10.31%,34.49%,0.86,1.11,8.97%,46.65%,5.09%,32.23%,7.31%,1.96,1.05,9.37,16.7,2.25,19.58,13.97%,3.24%,7.22%,97.31%,-6.53%,0.86%,0.86%,6.11%
Green & Renewable Energy,#N/A,17,3.74%,23.44%,4.15%,7.06%,0.56,1.11,8.97%,57.34%,5.35%,58.58%,6.07%,0.2,7.47,12.63,33.58,0.85,39.87,-27.98%,44.32%,20.46%,115.90%,10.68%,25.60%,25.60%,21.78%
Healthcare Products,#N/A,230,17.95%,13.29%,13.08%,20.58%,1.01,1.06,8.77%,52.21%,5.35%,11.24%,8.23%,0.99,5.16,21.51,36.99,4.63,61.89,25.57%,4.90%,2.08%,49.51%,8.31%,41.77%,41.77%,13.84%
Healthcare Support Services,3,119,12.42%,3.92%,45.74%,22.53%,0.94,1.03,8.63%,49.53%,5.09%,21.18%,7.61%,12.88,0.61,11.29,15.46,3.34,80.17,-6.53%,0.71%,1.92%,62.75%,15.62%,29.63%,29.63%,3.86%
Heathcare Information and Technology,3,128,19.67%,14.01%,14.28%,11.69%,1.19,1.27,9.74%,54.15%,5.35%,13.85%,8.95%,1.04,5.29,21.44,36.53,4.09,44.44,22.95%,4.51%,2.67%,31.34%,5.18%,19.73%,19.73%,14.15%
Homebuilding,5,32,11.04%,16.24%,20.91%,23.44%,1.35,1.37,10.18%,32.31%,5.09%,14.10%,9.28%,1.55,1.32,7.79,8.11,2,10.66,58.51%,0.51%,0.36%,-5.00%,22.88%,6.43%,6.43%,16.30%
Hospitals/Healthcare Facilities,3,32,18.11%,11.57%,20.16%,20.30%,0.56,0.88,7.93%,46.33%,5.09%,44.37%,6.10%,1.87,1.56,8.75,13.41,5.12,22.87,11.17%,6.25%,2.20%,34.92%,61.97%,12.78%,12.78%,11.55%
Hotel/Gaming,3,68,10.24%,17.14%,9.99%,19.27%,1.05,1.34,10.06%,40.80%,5.09%,32.74%,8.02%,0.81,4.23,14.98,30.73,11.06,32.22,2.99%,6.71%,1.12%,21.81%,35.87%,8.43%,8.43%,13.54%
Household Products,3,93,2.25%,16.86%,31.17%,22.13%,0.77,0.84,7.76%,51.12%,5.35%,14.20%,7.23%,1.99,3.41,15.95,20.01,7.33,34.47,7.50%,3.62%,0.94%,-0.10%,26.98%,122.23%,122.23%,17.03%
Information Services,#N/A,18,4.72%,11.63%,22.74%,25.78%,0.77,0.93,8.16%,33.83%,5.09%,26.29%,7.02%,2.19,2.33,12.15,19.06,4.06,24.76,15.73%,1.90%,-3.63%,-26.31%,8.43%,60.70%,60.70%,12.34%
Insurance (General),3,21,7.76%,15.23%,15.65%,20.67%,0.89,1.03,8.63%,40.38%,5.09%,20.59%,7.64%,1.19,2.66,11.48,17.34,2.86,92.18,-0.01%,0.93%,-2.60%,37.90%,13.52%,32.75%,32.75%,15.27%
Insurance (Life),3,23,-0.06%,0.07%,0.11%,17.73%,0.54,0.77,7.40%,30.85%,5.09%,47.98%,5.68%,0.94,1.57,17.24,NA,1.62,176.38,28.62%,0.18%,-2.56%,NA,1.32%,381.21%,381.21%,0.13%
Insurance (Prop/Cas.),3,50,6.17%,7.41%,11.12%,18.94%,0.68,0.74,7.28%,27.40%,5.09%,16.24%,6.72%,1.69,1.36,11.77,15.66,2.3,20.72,-40.94%,0.78%,-0.13%,28.66%,10.36%,35.13%,35.13%,7.49%
Investments & Asset Management,3,334,4.60%,15.00%,6.16%,18.98%,0.39,0.46,5.98%,15.15%,4.50%,28.74%,5.23%,0.47,5.42,34.85,34.9,2,69.38,NA,2.97%,6.14%,54.67%,13.78%,42.11%,42.11%,14.67%
Machinery,10,103,4.71%,14.78%,24.91%,21.72%,0.94,1.03,8.60%,33.44%,5.09%,14.43%,7.91%,1.87,3.07,15.46,20.31,4.34,26.95,25.17%,2.44%,6.43%,66.77%,19.02%,36.27%,36.27%,15.06%
Metals & Mining,5,68,-1.31%,19.62%,24.03%,35.29%,0.91,0.96,8.31%,60.56%,5.35%,13.66%,7.72%,1.25,2.94,10.36,14.87,3.22,33.13,15.32%,13.03%,5.91%,63.15%,12.17%,95.47%,95.47%,19.56%
